0.608560,
1.019516,
0.905024,
1.578768,
0.453372,
1.142541,
1.060520,
0.174221,
1.422849,
1.023250,
1.160567,
0.507588,
1.100230,
1.313968,
0.347751,
1.425755,
1.686294,
0.246832,
1.588256,
1.031101,
0.863550,
0.823185,
0.496314,
1.599896,
0.395218,
1.253212,
1.782094,
0.331332,
1.490294,
1.021086,
1.017358,
0.495924,
0.437059,
1.532156,
0.537387,
1.529876,
1.006545,
0.992105,
1.302055,
1.132411,
1.206733,
1.002250,
